,contributor_name,counts
0,fchollet,2228
1,timmattison,1645
2,IanMeyers,1231
3,frankfliu,999
4,igorborgest,775
5,dependabot-preview[bot],751
6,jamesiri,698
7,justinboswell,592
8,JonathanHenson,580
9,dwmw2,563
10,mtdowling,561
11,colmmacc,522
12,dustin,514
13,sapessi,490
14,PaulMaddox,479
15,jedisct1,476
16,raycoll,429
17,jaymccon,398
18,jflasher,385
19,alexw91,380
20,jedsundwall,376
21,jpeddicord,369
22,chamcca,361
23,fhieber,337
24,eladb,331
25,hyandell,324
26,lanking520,322
27,djarpin,314
28,stilvoid,303
29,graebm,299
30,JordonPhillips,289
31,schmutze,289
32,troylar,283
33,stu1130,266
34,JimTharioAmazon,262
35,matteofigus,261
36,vdantu,258
37,jpignata,250
38,jongogogo,246
39,eamonnfaherty,244
40,wizage,241
41,xavierraffin,240
42,chehefen,238
43,HieronymusLex,237
44,zachgk,230
45,pfifer,228
46,ColdenCullen,228
47,Trial-In-Error,227
48,MushMal,224
49,natbesh,223
50,ahwestrich,222
51,jldodds,218
52,rahul003,217
53,aspino,214
54,setheliot,211
55,bretambrose,209
56,farizrahman4u,201
57,amazon-meaisiah,200
58,sriram-mv,199
59,brettstack,198
60,samuelkarp,195
61,baldwinmatt,194
62,rabowskyb,193
63,jfuss,193
64,jonomon,188
65,dschoepe,184
66,sanathkr,167
67,iliana,167
68,jasdel,162
69,Drudenhaus,162
70,dependabot[bot],158
71,jamesls,155
72,kstich,154
73,clareliguori,149
74,danielsn,138
75,rohandubal,137
76,roywei,135
77,irlrobot,133
78,iansrobinson,132
79,taehoonlee,132
80,jeskew,128
81,keetonian,126
82,heitorlessa,126
83,andrewhop,124
84,mufeili,121
85,Stvad,120
86,vrakesh,120
87,adedotua,119
88,alexeblee,118
89,palpatim,117
90,jaheba,115
91,zz85,114
92,Innixma,113
93,awood45,112
94,manueliglesias,112
95,chadneal,110
96,tdomhan,108
97,skmcgrail,108
98,ozabluda,107
99,Sean-Der,107
100,ericfe,106
101,ranshn,105
102,jlhood,104
103,lostella,104
104,marcomagdy,104
105,vbudilov,104
106,pesama,103
107,aaronmarkham,101
108,mattsb42-aws,100
109,aksnzhy,96
110,cbalioglu,96
111,amazon-auto,92
112,ingenthr,92
113,seanmcl,92
114,buffovich,92
